kode_prov,kode_kab,kode,nama_pemda,tkdd_pendapatan,tkdd_belanja,perubahan_apbd,grouping
16,72,1672,KOTA PAGAR ALAM,"86,88%","86,82%","-23,74%",mandiri
65,4,6504,TANA TIDUNG,"86,21%","80,58%","-2,66%",mandiri
81,72,8172,KOTA TUAL,"85,01%","85,43%","-100,00%",mandiri
64,11,6411,MAHAKAM ULU,"84,89%","79,24%","-45,53%",mandiri
91,10,9110,SARMI,"84,63%","85,39%","-100,00%",mandiri
82,72,8272,KOTA TIDORE KEPULAUAN,"84,03%","82,73%","-9,64%",mandiri
74,10,7410,BUTON UTARA,"83,69%","81,67%","-12,44%",mandiri
82,5,8205,KEPULAUAN SULA,"83,67%","79,79%","-12,32%",mandiri
16,6,1606,MUSI BANYUASIN,"83,37%","79,70%","-39,98%",mandiri
12,15,1215,PAKPAK BHARAT,"83,18%","80,52%","-11,49%",mandiri
91,19,9119,SUPIORI,"82,92%","78,75%","-100,00%",mandiri
91,20,9120,MAMBERAMO RAYA,"82,88%","76,64%","-100,00%",mandiri
16,73,1673,KOTA LUBUKLINGGAU,"82,84%","86,32%","-24,65%",mandiri
74,7,7407,WAKATOBI,"82,67%","80,12%","-11,24%",mandiri
52,72,5272,KOTA BIMA,"82,46%","73,68%","-20,27%",mandiri
91,21,9121,MAMBERAMO TENGAH,"82,29%","77,93%",#DIV/0!,mandiri
74,12,7412,KONAWE KEPULAUAN,"82,23%","80,72%",#DIV/0!,mandiri
13,9,1309,KEPULAUAN MENTAWAI,"82,12%","78,55%","-19,82%",mandiri
21,5,2105,KEPULAUAN ANAMBAS,"82,05%","70,71%","-100,00%",mandiri
19,3,1903,BANGKA SELATAN,"82,00%","75,48%","-21,42%",mandiri
91,15,9115,WAROPEN,"81,95%","97,57%",#DIV/0!,mandiri
15,7,1507,TANJUNG JABUNG TIMUR,"81,83%","77,36%","-22,06%",mandiri
81,6,8106,SERAM BAGIAN BARAT,"81,79%","78,92%","-31,68%",mandiri
53,16,5316,NAGEKEO,"81,78%","79,06%","-16,47%",mandiri
